"","RMSE_f_1","RMSE_f_2","RMSE_f_3","RMSE_f_4","RMSE_f_5","RMSE_f_6","RMSE_f_7","RMSE_f_8","RMSE_f_9","RMSE_f_10","RMSE_f_11","RMSE_f_12","RMSE_f_13","RMSE_f_14","RMSE_f_15","RMSE_f_16","RMSE_f_17","RMSE_f_18","RMSE_f_19","RMSE_f_20","RMSE_f_21","RMSE_f_22","RMSE_f_23","RMSE_f_24"
"Simul_22",0.00619344665007482,0.00768952760286502,0.00680085201783528,0.00647514836281934,0.00791129356421921,0.00893517167109149,0.00957284010497354,0.0113129696080097,0.0119400121932933,0.0130555390866168,0.0143212402543817,0.0145735434205174,0.0146670162526438,0.0144287799796113,0.0139507030569754,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_23",0.00115093463762861,0.00196481584710784,0.00179121352711728,0.00370116942308511,0.00568021127111123,0.00698994887852514,0.00944464988059791,0.0102527327376745,0.0115768661608143,0.0129973633370083,0.0132612732939943,0.0133534326339362,0.0130933311138052,0.0126528927836396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_24",0.00400673172637234,0.00342459553372805,0.00421220967345957,0.00593115219325822,0.00724337341510347,0.00987950567956429,0.0106606346311878,0.0119988453667389,0.0134357783283125,0.0136478132512654,0.0136888654687027,0.013372440985348,0.0128904732991477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_25",0.00235697625947306,0.00733424734970788,0.00993366242283914,0.0112144404584854,0.0132930730496403,0.0136196091274859,0.0146155466865791,0.0158065855388354,0.0158398240450089,0.0157359829464774,0.0152960462862269,0.0146726736381301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_26",0.00711877289328555,0.00926848475085414,0.0101755286302937,0.012418669484913,0.0128009099803066,0.0140530236007024,0.0154383852988192,0.0154663646932172,0.0153442108131689,0.0148589744481746,0.0142083386902316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_27",0.00181324536762251,0.00268880898804085,0.00587013008842611,0.00642631755456643,0.00918808517892429,0.0118124973924724,0.0121762705306423,0.0122637287077707,0.011861507746493,0.0113625730055411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_28",0.000978917613116081,0.00516552547129606,0.00538363831700092,0.00857883759680875,0.0116484381641386,0.0120363102340551,0.0121051383109514,0.0116372462298158,0.0111139145032182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_29",0.00596140618696595,0.00533101728714695,0.00881879466707847,0.0120761806673289,0.0123490073855077,0.0123412604166573,0.0117620215504587,0.0111737097047202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_30",0.00318222110675581,0.00480944176800776,0.00785406653861478,0.00788043860263397,0.0082753341258604,0.0079633313017577,0.00779191730650693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_31",0.0101553551064244,0.0131721723296347,0.0126686610920393,0.012639339900723,0.0117927059110743,0.0110488709862205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
